Size,Accuracy,Normal Precision,Pneumonia precision,Time
1,0.375,0.375,0.0,46.26163935661316
2,0.6217948717948718,0.4861111111111111,0.6394927536231884,47.65915369987488
3,0.7403846153846154,0.7608695652173914,0.7345679012345679,50.65420699119568
4,0.7996794871794872,0.8562091503267973,0.7813163481953291,51.909586668014526
16,0.8397435897435898,0.9240506329113924,0.8111587982832618,56.689698457717896
28,0.8349358974358975,0.9171974522292994,0.8072805139186295,57.08953380584717
40,0.8285256410256411,0.9044585987261147,0.8029978586723768,58.48095774650574
52,0.8381410256410257,0.9290322580645162,0.8081023454157783,59.44167375564575
64,0.8381410256410257,0.9235668789808917,0.8094218415417559,60.040817737579346
76,0.8381410256410257,0.9290322580645162,0.8081023454157783,61.19066405296326
88,0.8333333333333334,0.9276315789473685,0.8029661016949152,62.83124041557312
100,0.8301282051282052,0.9324324324324325,0.7983193277310925,64.0221917629242
112,0.8253205128205128,0.9432624113475178,0.7908902691511387,65.7094099521637
124,0.8317307692307693,0.9448275862068966,0.7974947807933194,67.44876885414124
136,0.8205128205128205,0.9552238805970149,0.7836734693877551,68.48031044006348
148,0.8108974358974359,0.9461538461538461,0.7753036437246964,70.35007834434509
160,0.8076923076923077,0.9523809523809523,0.7710843373493976,69.39880204200745
172,0.8028846153846154,0.9512195121951219,0.7664670658682635,71.92137098312378
184,0.8012820512820513,0.9661016949152542,0.7628458498023716,71.29159045219421
196,0.7852564102564102,0.9545454545454546,0.7490272373540856,73.70010471343994
